verbe	fierté	honte	respect	mépris	jalousie	pitié
calmer	1	0	0	1	18	0
comprimer	0	0	0	1	0	0
contenir	4	2	5	5	19	0
dominer	1	0	5	3	6	0
dompter	3	0	0	0	5	0
exorciser	0	5	0	1	1	0
maîtriser	0	2	4	0	13	0
modérer	2	1	0	0	2	0
refouler	1	1	0	0	1	4
réfréner	0	0	0	1	0	0
réprimer	2	1	0	0	2	0
retenir	3	0	9	4	0	0
surmonter	3	40	5	5	33	2
vaincre	0	14	2	4	48	2
cacher	54	175	4	60	39	2
taire	0	8	0	2	8	1
masquer	1	12	0	14	6	0
dissimuler	3	16	0	15	10	1
