fierté,honte,respect,mépris,jalousie,pitié
10.326231691078561,10.899907535829866,12.343648208469055,11.04697247706422,9.372886473429952,10.468764460897733
9,10.0,13.0,11,7.0,9
1,1,1,1,1,1
7.4558389081781815,8.123322188343819,7.452938510761344,7.40255318024791,7.636805528039984,7.965919471238905
55.58953382470362,65.988363375639,55.546292445189515,54.79779358639845,58.320798673102054,63.45587302226312
12.042609853528628,12.1708275543227,11.636482084690554,12.436697247706421,11.51177536231884,12.091161499305876
12,12.0,11.0,13,11.0,12
1,1,3,20,3,3
7.1310075849235135,7.640966165846357,7.007836020597942,6.809608168151373,7.1983530381341545,7.381801640382458
50.851269176236684,58.38436394760877,49.109765691590006,46.37076340375389,51.816286461615206,54.49099545795315
24.37416777629827,25.08113730929265,25.987947882736158,25.487339449541285,22.88828502415459,24.569180934752428
24,24.0,26.0,25,22.0,24
25,24,24,23,25,23
9.703952836347565,10.974000720701039,9.871474066242472,9.392380538901003,10.325187670957868,10.79731888349343
94.16670065005795,120.4286918179469,97.4460002404977,88.2168121875263,106.60950044050037,116.58209507184382
